Viverra Viverra civettina 12061.27
Muntiacus Muntiacus putaoensis 12000
Leptailurus Leptailurus serval 11999.96
Canis Canis latrans 11989.1
Caracal Caracal caracal 11964.38
Meles Meles meles 11884.03
Leopardus Leopardus pardalis 11880
Macropus Macropus agilis 11815.75
Raphicerus Raphicerus campestris 11661.53
Macaca Macaca sylvanus 11471.53
Rhinopithecus Rhinopithecus strykeri 11452.67
Macropus Macropus dorsalis 11249.96
Trachypithecus Trachypithecus pileatus 11219.93
Macaca Macaca hecki 11200
Lontra Lontra felina 11195.36
Lynx Lynx pardinus 11050
Rhinopithecus Rhinopithecus bieti 11000.54
Dorcatragus Dorcatragus megalotis 10918.12
Hyemoschus Hyemoschus aquaticus 10850
Symphalangus Symphalangus syndactylus 10839
Muntiacus Muntiacus rooseveltorum 10762.64
Trachypithecus Trachypithecus johnii 10595.08
Macaca Macaca thibetana 10593.06
Brachyteles Brachyteles arachnoides 10537.31
Raphicerus Raphicerus melanotis 10503.14
Dendrolagus Dendrolagus bennettianus 10458.82
Canis Canis adustus 10392.49
Pygathrix Pygathrix nigripes 10333.32
Macaca Macaca fuscata 10114.76
Pygathrix Pygathrix cinerea 10050
Macaca Macaca tonkeana 10035.53
Semnopithecus Semnopithecus hypoleucos 10026.65
Smutsia Smutsia temminckii 10000
Ailurops Ailurops ursinus 10000
Dendrolagus Dendrolagus scottae 9958.58
Colobus Colobus guereza 9925.88
Piliocolobus Procolobus gordonorum 9750
Trachypithecus Trachypithecus auratus 9719.6
Dasypus Dasypus kappleri 9702.83
Lynx Lynx canadensis 9682.82
Canis Canis aureus 9658.7
Pudu Pudu puda 9642.62
Cercocebus Cercocebus chrysogaster 9610
Pudu Pudu mephistophiles 9599.96
Dendrolagus Dendrolagus stellarum 9581
Macaca Macaca nigrescens 9500
Cryptoprocta Cryptoprocta ferox 9500
Dendrolagus Dendrolagus notatus 9469.1983333333
Dendrolagus Dendrolagus mayri 9469.1983333333
Pygathrix Pygathrix nemaeus 9411.1
Raphicerus Raphicerus sharpei 9396.9
Dendrolagus Dendrolagus mbaiso 9395.06
Macaca Macaca arctoides 9358.04
Viverra Viverra megaspila 9250
Cephalophus Cephalophus adersi 9249.95
Porcula Porcula salvania 9200
Trachypithecus Trachypithecus laotum 9150
Trachypithecus Trachypithecus hatinhensis 9150
Viverra Viverra zibetha 9148.77
Rhinopithecus Rhinopithecus avunculus 9086.19
Ateles Ateles fusciceps 9067.94
Colobus Colobus satanas 9055.32
Trachypithecus Trachypithecus poliocephalus 9000
Trachypithecus Trachypithecus delacouri 9000
Piliocolobus Procolobus pennantii 9000
Piliocolobus Procolobus kirkii 9000
Mellivora Mellivora capensis 8999.99
Cuniculus Cuniculus taczanowskii 8999.95
Colobus Colobus angolensis 8990.31
Dendrolagus Dendrolagus dorianus 8976.58
Lutrogale Lutrogale perspicillata 8912.49
Trachypithecus Trachypithecus barbei 8874.9353333333
Lutra Lutra lutra 8868.69
Piliocolobus Procolobus preussi 8865.71
Prionailurus Prionailurus viverrinus 8826.46
Papagomys Papagomys armandvillei 8800
Colobus Colobus polykomos 8797.29
Ateles Ateles paniscus 8697.25
Lycalopex Pseudalopex culpaeus 8616.24
Indri Indri indri 8565.48
Philantomba Philantomba maxwellii 8557.69
Macaca Macaca assamensis 8546.89
Nomascus Nomascus gabriellae 8500
Ateles Ateles hybridus 8500
Ailurops Ailurops melanotis 8500
Petrogale Petrogale xanthopus 8499.99
Dendrolagus Dendrolagus spadix 8468.2
Atelocynus Atelocynus microtis 8363.22
Trachypithecus Trachypithecus geei 8356
Dendrolagus Dendrolagus matschiei 8293.4
Canis Canis mesomelas 8247.3
Oreonax Oreonax flavicauda 8229.12
Sarcophilus Sarcophilus harrisii 8202.25
Cuniculus Cuniculus paca 8172.55
Arctonyx Arctonyx collaris 8166.52
Trachypithecus Trachypithecus francoisi 8139.93
Proteles Proteles cristata 8139.39
Leopardus Leopardus jacobita 8133.78
Lontra Lontra canadensis 8087.42
Dendrolagus Dendrolagus pulcherrimus 8025
Manis Manis crassicaudata 8017.56
Piliocolobus Procolobus rufomitratus 8000
Macropus Macropus irma 8000
Hystrix Hystrix brachyura 8000
Dolichotis Dolichotis patagonum 8000
Colobus Procolobus badius 8000
Cercocebus Cercocebus sanjei 8000
Erythrocebus Erythrocebus patas 7966.3
Dendrolagus Dendrolagus goodfellowi 7948.78
Taxidea Taxidea taxus 7842.15
Macaca Macaca nemestrina 7820.78
Nomascus Nomascus hainanus 7790
Macaca Macaca leonina 7783
Colobus Colobus vellerosus 7700.18
Trachypithecus Trachypithecus phayrei 7681.72
Lagothrix Lagothrix poeppigii 7680
Lagothrix Lagothrix lugens 7680
Ateles Ateles geoffroyi 7582.4
Macaca Macaca munzala 7537.0533333333
Zaglossus Zaglossus bruijnii 7500
Moschus Moschus anhuiensis 7500
Macaca Macaca siberu 7500
Lontra Lontra provocax 7499.98
Erethizon Erethizon dorsatum 7419.46
Lophocebus Lophocebus albigena 7418.71
Simias Simias concolor 7393.9
Macaca Macaca nigra 7359.39
Viverra Viverra tangalunga 7349.99
Nomascus Nomascus leucogenys 7320
Marmota Marmota bobak 7300
Cercocebus Cercocebus torquatus 7293.07
Macaca Macaca maura 7290.3
Alouatta Alouatta macconnelli 7250
Trachypithecus Trachypithecus obscurus 7247.88
Trachypithecus Trachypithecus vetulus 7205.08
Trachypithecus Trachypithecus cristatus 7176.81
Alouatta Alouatta pigra 7172.06
Felis Felis chaus 7157.99
Nomascus Nomascus nasutus 7124.094
Cercocebus Cercocebus agilis 7105.62
Cercocebus Cercocebus galeritus 7077.66
Ateles Ateles chamek 7053.92
Presbytis Presbytis femoralis 7026.91
Marmota Marmota sibirica 7000
Cercocebus Cercocebus atys 6941.24
Procyon Procyon cancrivorus 6931.72
Petrogale Petrogale penicillata 6931.6
Puma Puma yagouaroundi 6875
Hoolock Hoolock leuconedys 6709.7689333333
Hylobates Hoolock hoolock 6700
Ateles Ateles belzebuth 6692.42
Presbytis Presbytis thomasi 6689.99
Dendrolagus Dendrolagus lumholtzi 6649.97
Choloepus Choloepus didactylus 6646.5
Presbytis Presbytis chrysomelas 6630
Alouatta Alouatta sara 6611.04
Marmota Marmota himalayana 6600
Alouatta Alouatta palliata 6576.99
Propithecus Propithecus edwardsi 6573.27
Propithecus Propithecus diadema 6568.99
Lontra Lontra longicaudis 6554.97
Presbytis Presbytis comata 6550.07
Phascolarctos Phascolarctos cinereus 6528.74
Lophocebus Lophocebus aterrimus 6510.37
Zaglossus Zaglossus bartoni 6500
Tragulus Tragulus nigricans 6500
Propithecus Propithecus perrieri 6500
Lagothrix Lagothrix cana 6500
Nesotragus Nesotragus moschatus 6499
Onychogalea Onychogalea unguifera 6494.73
Cercopithecus Cercopithecus mitis 6485.6
Macaca Macaca mulatta 6455.19
Presbytis Presbytis potenziani 6449.53
Presbytis Presbytis melalophos 6439.12
Nomascus Nomascus concolor 6410.47
Alouatta Alouatta seniculus 6398.31
Lynx Lynx rufus 6374.47
Procyon Procyon lotor 6373.72
Myocastor Myocastor coypus 6361.55
